output_number,phase,source,error_type,error_message,app,llm,dest_model
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpp193fi8x/sift.hpp:96:35: error: ‘READ_WRITE’ is not a member of ‘Legion’; did you mean ‘READ_WRITE’?,heapify,gpt-5.3-codex,Legion
14,build,build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpp193fi8x/sift.hpp:96:53: error: template argument 1 is invalid,heapify,gpt-5.3-codex,Legion
14,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpp193fi8x/sift.hpp:110:24: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
14,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpp193fi8x/sift.hpp:112:28: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
14,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpp193fi8x/sift.hpp:119:24: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
14,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpp193fi8x/sift.hpp:126:12: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
14,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpp193fi8x/sift.hpp:134:24: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
14,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpp193fi8x/sift.hpp:136:32: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
14,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpp193fi8x/sift.hpp:144:8: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpp193fi8x/sift.hpp:149:35: error: ‘READ_WRITE’ is not a member of ‘Legion’; did you mean ‘READ_WRITE’?,heapify,gpt-5.3-codex,Legion
14,build,build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpp193fi8x/sift.hpp:149:53: error: template argument 1 is invalid,heapify,gpt-5.3-codex,Legion
